"genes" "slopes" "intercept" "p_val_slope" "p_val_intercept" "number_of_species" "R_sq" "R_sq_adj" "residual_std_err"
"1" "dN.dS_ENSG00000076108" -0.0778505257230589 0.283907718221188 0.620860037606709 2.55400386880947e-06 42 0.00633409686824377 -0.0191445160325703 0.216421708061784
"2" "dN.dS_ENSG00000143393" 0.306232286260531 0.186660031673415 0.0123075160538653 1.92245452004965e-05 41 0.150163642858741 0.128372967034606 0.159795828575764
"3" "dN.dS_ENSG00000157450" -0.0250826400057746 0.25966154401678 0.868830424479714 6.44701310015269e-06 41 0.000708068993356957 -0.0249148010324542 0.2092179762649
"4" "dN.dS_ENSG00000198910" -0.523673326095323 0.360701142740584 0.00764107350093239 7.36475025575315e-07 41 0.168705794873637 0.147390558844756 0.254686727373158
"5" "dN.dS_ENSG00000198822" 0.398581935584848 0.159526993081425 0.00262799628692067 0.000386921629041265 40 0.214337423197484 0.193662092228996 0.171040343877153
"6" "dN.dS_ENSG00000100505" 0.455609062347174 0.144938359046247 0.000340940999498599 0.000518569816410759 40 0.289649897778318 0.270956474035642 0.158616096201573
"7" "dN.dS_ENSG00000155545" 0.0723268094903812 0.231181543841369 0.647778213706141 7.4808366418239e-05 40 0.005549687712658 -0.0206200573475352 0.217737790946788
"8" "dN.dS_ENSG00000104885" -0.0708161495515181 0.252115129301135 0.744965663276419 0.000987510894063232 39 0.00289442817016357 -0.0240543710684806 0.279075218068492
"9" "dN.dS_ENSG00000094880" 0.218028398882646 0.206061779892161 0.110892980658888 3.23886376172073e-05 40 0.0655160729340045 0.0409243906427941 0.177457839442841
"10" "dN.dS_ENSG00000173889" 0.118032033977551 0.236193762706832 0.323860454718874 4.30010011032206e-07 41 0.024960696768716 -4.03110064450818e-05 0.163586010343812
"11" "dN.dS_ENSG00000149930" 0.24319899314355 0.202145953983318 0.0567124784392083 1.32771639330082e-05 41 0.0899851071202476 0.0666513919182027 0.167126025718021
"12" "dN.dS_ENSG00000163462" 0.164602789051211 0.227625150908967 0.144970187007213 2.6765643396303e-07 40 0.0550675999131148 0.0302009578055651 0.151043716252395
"13" "dN.dS_ENSG00000189221" -0.0274850441667112 0.246122814111736 0.887856351237966 0.00040576215930179 40 0.00053010140332125 -0.0257717380334335 0.258431158925013
"14" "dN.dS_ENSG00000151553" 0.325718437613087 0.183332461422159 0.00494758420109334 9.81640014874081e-06 41 0.18542847830209 0.164542029027785 0.151577970185849
"15" "dN.dS_ENSG00000169967" 0.0920397919182055 0.248053857947856 0.397011438683185 2.8594944034659e-08 39 0.0194595686509508 -0.00704152408821268 0.145012489823596
"16" "dN.dS_ENSG00000184708" 0.268444104113308 0.198234878756815 0.0260832486369884 7.09681141498934e-06 40 0.123643269116239 0.100581249882456 0.156471679262923
"17" "dN.dS_ENSG00000110171" 0.384248178643228 0.172634199192068 0.000357596275092128 4.26547235716488e-06 39 0.294547400560963 0.275481114089638 0.128976589514863
"18" "dN.dS_ENSG00000170873" 0.14847328486198 0.242289819321397 0.074818599636878 6.06881855904391e-11 39 0.0832700694906209 0.0584935848822593 0.109003419486295
"19" "dN.dS_ENSG00000141456" 0.172174962000047 0.220106820372327 0.16775057787063 3.06047629958733e-06 41 0.0482186826535551 0.0238140334908259 0.169675660003219
"20" "dN.dS_ENSG00000009335" 0.0997756417838183 0.240065334297762 0.416373533780358 5.67020547693769e-07 40 0.0174579878212032 -0.00839838092034406 0.164797016461176
"21" "dN.dS_ENSG00000122482" 0.181115983343899 0.198485203513983 0.286413941819459 0.000906783084305177 42 0.0283566717698105 0.00406558856405581 0.235439946423384
"22" "dN.dS_ENSG00000156983" 0.135231671356642 0.225827315692281 0.302827289567588 4.34826073263985e-06 43 0.0258716071486129 0.00211237805467657 0.182160320059636
"23" "dN.dS_ENSG00000136709" 0.21322479741661 0.216796062791288 0.0457040753193182 1.95295891826814e-07 40 0.100974402322924 0.0773158339630003 0.142737868014834
"24" "dN.dS_ENSG00000174437" 0.300767055705492 0.193712089560568 0.00497039145239377 9.4798657334358e-07 41 0.18525254792584 0.164361587616247 0.139869568649002
"25" "dN.dS_ENSG00000107882" 0.232902001314054 0.208236434956137 0.041021355056342 1.04949227300195e-06 42 0.100286877179271 0.0777940491087532 0.1514106718188
"26" "dN.dS_ENSG00000152127" 0.131153872618151 0.235780774082308 0.25471770488923 2.44096219641153e-07 39 0.0349120965006699 0.00882863964933678 0.153136247295546
"27" "dN.dS_ENSG00000108001" 0.356483918278117 0.178344623015646 0.00111880076355098 4.91088171314863e-06 39 0.252358076763431 0.232151538297578 0.1376199356001
"28" "dN.dS_ENSG00000197122" 0.145041341218009 0.23359637756678 0.190343997142434 1.21347497863114e-07 39 0.0458916988520134 0.0201049880101759 0.145334384988075
"29" "dN.dS_ENSG00000096384" 0.256879026154028 0.203640222249958 0.0165904635104439 4.11418279953966e-07 43 0.132098376353959 0.110930044069909 0.144542021689229
"30" "dN.dS_ENSG00000125304" 0.585782967836312 0.102249554929476 5.08434790594795e-05 0.0208957443689384 40 0.354364123991778 0.337373706202088 0.176478300480895
"31" "dN.dS_ENSG00000186260" -0.113431945212255 0.267761089458741 0.56534718838477 0.00018379163008262 40 0.00877454023769934 -0.0173103402823613 0.267690296353408
"32" "dN.dS_ENSG00000164076" 0.58545992487371 0.124199224465944 4.65696775648821e-07 0.00056227815606787 39 0.510735266289805 0.497144579242299 0.140068616782856
"33" "dN.dS_ENSG00000116106" 0.201830125689735 0.22210728772356 0.0396608564042965 1.57669897409255e-08 41 0.104083831234188 0.0811116217786546 0.131308126100287
"34" "dN.dS_ENSG00000124702" 0.180623683689678 0.219255233107289 0.133732935026875 1.67756173104144e-06 41 0.0567248972900894 0.0325383561949636 0.163331737646315
"35" "dN.dS_ENSG00000129083" 0.216134289757192 0.217082190232449 0.0331881151135033 5.21492217160982e-08 41 0.111121310308175 0.088329549034026 0.135553209278803
"36" "dN.dS_ENSG00000198730" 0.398116757593556 0.17059225703338 4.05624379355498e-05 5.01733023982671e-07 42 0.347032259709764 0.330708066202508 0.12127435146245
"37" "dN.dS_ENSG00000047056" 0.253001531738259 0.202787169037487 0.0319482504189452 3.94776666679204e-06 39 0.11841362563465 0.0945869668680187 0.153566828698632
"38" "dN.dS_ENSG00000102974" 0.211342919697181 0.212159472532964 0.0698689911259703 2.51092372639389e-06 39 0.0860800788518661 0.0613795404424571 0.164454973896227
"39" "dN.dS_ENSG00000118454" 0.0368965735039515 0.256702546826841 0.76047796142472 1.10301917944179e-07 41 0.00241078799151884 -0.0231684225728011 0.165244905152529
"40" "dN.dS_ENSG00000149136" 0.0769352969549062 0.255005628655834 0.438935647976041 2.04067183359378e-09 39 0.0162769220049873 -0.0103101882110941 0.13206707823356
"41" "dN.dS_ENSG00000139687" -0.163954825126924 0.270142235371839 0.431201824820565 0.000298888007789425 41 0.015962684751057 -0.00926904128096706 0.285456921743121
"42" "dN.dS_ENSG00000109111" 0.185850711087757 0.22506202558908 0.0695901710778001 3.49549926529965e-08 41 0.0819546926855051 0.058415069421031 0.137999303736209
"43" "dN.dS_ENSG00000108262" 0.290068075814917 0.192975955427727 0.0135874275464983 6.23103436542243e-06 40 0.149883799028159 0.127512320055216 0.150850507282597
"44" "dN.dS_ENSG00000082641" 0.13995531310769 0.230492164575888 0.250666334687196 1.15936183871579e-06 39 0.035502621209064 0.00943512448498474 0.164022918345843
"45" "dN.dS_ENSG00000091622" 0.0797439853634039 0.247258696337711 0.500521404742513 1.49972605209532e-07 41 0.0117174759728127 -0.0136231015663459 0.162446400528989
"46" "dN.dS_ENSG00000131725" 0.15651792892344 0.209775973133407 0.361488537755978 0.000566805280676087 39 0.0225531727706934 -0.00386430904631485 0.22408163493531
"47" "dN.dS_ENSG00000067842" 0.369072431258029 0.174577515085397 0.000923983860997783 8.51269318532866e-06 39 0.259571940858914 0.239560371692938 0.13803902453682
"48" "dN.dS_ENSG00000126583" 0.329717918236581 0.184477722949635 0.00324547431858192 4.72750113234651e-06 40 0.206230264493618 0.185341587243451 0.143352648353557
"49" "dN.dS_ENSG00000196961" 0.217400792530299 0.218078551330714 0.0340331570524825 6.81474831598993e-08 39 0.115796550326349 0.091899159794629 0.13149789474904
"50" "dN.dS_ENSG00000110048" 0.136410707497727 0.237528657976829 0.211423089135209 6.067306178414e-08 39 0.0418768525552591 0.0159816323540499 0.141559322224838
