"EnsemblId" "GeneName" "distance_to_hsp"
"2062" "ENSG00000096384" "HSP90AB1" 0
"14671" "ENSG00000179295" "PTPN11" 0.0322902026985922
"8064" "ENSG00000141030" "COPS3" 0.0414697504851227
"2486" "ENSG00000101266" "CSNK2A1" 0.0644484525212269
"16339" "ENSG00000186716" "BCR" 0.0657024611440541
"2342" "ENSG00000100567" "PSMA3" 0.0725741197790889
"11004" "ENSG00000163399" "ATP1A1" 0.0737660920887946
"1570" "ENSG00000082458" "DLG3" 0.081631645778253
"5165" "ENSG00000121390" "PSPC1" 0.0883888965138888
"352" "ENSG00000014641" "MDH1" 0.0952284774548905
"9888" "ENSG00000155545" "MIER3" 0.115759371833532
"9277" "ENSG00000149930" "TAOK2" 0.116887417589943
"15851" "ENSG00000184863" "RBM33" 0.122774866965621
"5208" "ENSG00000121879" "PIK3CA" 0.131104938562059
"12933" "ENSG00000170873" "MTSS1" 0.131133645945113
"10053" "ENSG00000156983" "BRPF1" 0.139362044392723
"75" "ENSG00000005007" "UPF1" 0.141395690429502
"5070" "ENSG00000120616" "EPC1" 0.144696245089924
"9770" "ENSG00000154380" "ENAH" 0.150173036833422
"17132" "ENSG00000196419" "XRCC6" 0.15073597838487
"6105" "ENSG00000129083" "COPB1" 0.152450047085345
"17874" "ENSG00000198730" "CTR9" 0.153416329745476
"15615" "ENSG00000183814" "LIN9" 0.156213413435283
"3507" "ENSG00000108262" "GIT1" 0.163054410806509
"17301" "ENSG00000196961" "AP2A1" 0.17043473974005
"7004" "ENSG00000135040" "NAA35" 0.178975940093752
"11020" "ENSG00000163466" "ARPC2" 0.180156574917509
"5839" "ENSG00000126581" "BECN1" 0.180998598154182
"3532" "ENSG00000108443" "RPS6KB1" 0.181889006284419
"843" "ENSG00000062485" "CS" 0.191318292328338
"10610" "ENSG00000161405" "IKZF3" 0.195136634421785
"222" "ENSG00000008441" "NFIX" 0.195354096756672
"4795" "ENSG00000118260" "CREB1" 0.19884747019152
"23221" "ENSG00000215421" "ZNF407" 0.199165435863962
"5129" "ENSG00000121022" "COPS5" 0.201401207367492
"18005" "ENSG00000198963" "RORB" 0.203438322133394
"10459" "ENSG00000160218" "TRAPPC10" 0.209033927169038
"3390" "ENSG00000107105" "ELAVL2" 0.209182273487195
"9819" "ENSG00000154832" "CXXC1" 0.219807383825038
"7247" "ENSG00000136231" "IGF2BP3" 0.226235084601575
"6548" "ENSG00000132155" "RAF1" 0.23123622381449
"7356" "ENSG00000136848" "DAB2IP" 0.236387109722585
"3465" "ENSG00000107864" "CPEB3" 0.237716913193161
"13267" "ENSG00000172239" "PAIP1" 0.239312242882535
"8140" "ENSG00000141551" "CSNK1D" 0.241036376083932
"2396" "ENSG00000100852" "ARHGAP5" 0.242093225815922
"1506" "ENSG00000080709" "KCNN2" 0.246073981927063
"9638" "ENSG00000153187" "HNRNPU" 0.248737947924319
"3312" "ENSG00000106459" "NRF1" 0.250898734318291
"4628" "ENSG00000116809" "ZBTB17" 0.255431400819184
"11674" "ENSG00000165699" "TSC1" 0.256839410381965
"4216" "ENSG00000113657" "DPYSL3" 0.258356909994255
"3528" "ENSG00000108424" "KPNB1" 0.259862357823112
"4873" "ENSG00000119042" "SATB2" 0.263326479206363
"15394" "ENSG00000182979" "MTA1" 0.269676092100719
"3823" "ENSG00000110880" "CORO1C" 0.273992151901081
"507" "ENSG00000033800" "PIAS1" 0.274204044059065
"5927" "ENSG00000127483" "HP1BP3" 0.275669628468188
"11816" "ENSG00000166266" "CUL5" 0.279242452371541
"9482" "ENSG00000151923" "TIAL1" 0.283222594403837
"11166" "ENSG00000163873" "GRIK3" 0.28415399088975
"17702" "ENSG00000198176" "TFDP1" 0.284512657656121
"7515" "ENSG00000137692" "DCUN1D5" 0.285044424898957
"3689" "ENSG00000109670" "FBXW7" 0.290668139752479
"3810" "ENSG00000110768" "GTF2H1" 0.292322184689923
"10507" "ENSG00000160551" "TAOK1" 0.296670785778192
"6434" "ENSG00000131323" "TRAF3" 0.296739403984778
"3593" "ENSG00000108821" "COL1A1" 0.304686066724313
"7368" "ENSG00000136875" "PRPF4" 0.306217198761838
"11437" "ENSG00000164742" "ADCY1" 0.307370728132602
"12283" "ENSG00000168066" "SF1" 0.309623404842739
"3146" "ENSG00000105613" "MAST1" 0.311165786947682
"9539" "ENSG00000152413" "HOMER1" 0.315538999813003
"4831" "ENSG00000118564" "FBXL5" 0.316377734396368
"14640" "ENSG00000179134" "SAMD4B" 0.316443163733303
"849" "ENSG00000062725" "APPBP2" 0.324713016806243
"5486" "ENSG00000124214" "STAU1" 0.326416309570928
"16913" "ENSG00000189091" "SF3B3" 0.326529991397347
"692" "ENSG00000051180" "RAD51" 0.326864322716385
"7436" "ENSG00000137203" "TFAP2A" 0.327078451424913
"2648" "ENSG00000102225" "CDK16" 0.328437723092704
"7516" "ENSG00000137693" "YAP1" 0.332005761755927
"7388" "ENSG00000136937" "NCBP1" 0.334567364203124
"5123" "ENSG00000120948" "TARDBP" 0.335773507261739
"17858" "ENSG00000198700" "IPO9" 0.336795249919714
"2358" "ENSG00000100605" "ITPK1" 0.338149217293191
"8937" "ENSG00000147140" "NONO" 0.342790103279727
"4218" "ENSG00000113712" "CSNK1A1" 0.342960122567927
"270" "ENSG00000010671" "BTK" 0.343605888990599
"1129" "ENSG00000070756" "PABPC1" 0.345357922215807
"15707" "ENSG00000184226" "PCDH9" 0.347281501974064
"651" "ENSG00000048828" "FAM120A" 0.348211766623379
"10105" "ENSG00000157404" "KIT" 0.348641609346142
"15220" "ENSG00000182247" "UBE2E2" 0.349701381018296
"4421" "ENSG00000115380" "EFEMP1" 0.350090799185108
"16382" "ENSG00000186908" "ZDHHC17" 0.352894749853653
"16097" "ENSG00000185811" "IKZF1" 0.357504170230899
"4146" "ENSG00000113161" "HMGCR" 0.362016158337866
"4684" "ENSG00000117222" "RBBP5" 0.363767614108831
"11792" "ENSG00000166181" "API5" 0.36577342853791
"3572" "ENSG00000108671" "PSMD11" 0.367006190259882
"1338" "ENSG00000076108" "BAZ2A" 0.371712494899385
"7930" "ENSG00000140153" "WDR20" 0.372027754666896
"13273" "ENSG00000172262" "ZNF131" 0.372137430353108
"5361" "ENSG00000123200" "ZC3H13" 0.372682281299064
"9674" "ENSG00000153560" "UBP1" 0.373974361752345
"8391" "ENSG00000143393" "PI4KB" 0.374091075667523
"10110" "ENSG00000157450" "RNF111" 0.376598534672716
"17974" "ENSG00000198910" "L1CAM" 0.377303239563432
"7560" "ENSG00000137845" "ADAM10" 0.380218449419509
"1907" "ENSG00000090975" "PITPNM2" 0.382529273886546
"13592" "ENSG00000173757" "STAT5B" 0.386394018583474
"13837" "ENSG00000175115" "PACS1" 0.38694041271075
"5149" "ENSG00000121274" "PAPD5" 0.390777332767321
"12408" "ENSG00000168610" "STAT3" 0.391600785791659
"17921" "ENSG00000198822" "GRM3" 0.392373401122084
"2917" "ENSG00000104388" "RAB2A" 0.393811053331211
"20206" "ENSG00000205323" "SARNP" 0.39738595526252
