"genes" "slopes" "intercept" "p_val_slope" "p_val_intercept" "number_of_species"
"1" "dN.dS_ENSG00000004776" -2.82724589874498e-06 0.10050255766564 0.56436692657017 1.0924149457157e-06 50
"2" "dN.dS_ENSG00000007923" 1.29581387648218e-05 0.0169661696680662 0.00050826250589037 0.210315661441612 66
"3" "dN.dS_ENSG00000025796" 2.10944523546768e-05 0.0261974129159694 0.000702644596371326 0.239199545792812 56
"4" "dN.dS_ENSG00000044574" 2.53153301045886e-06 0.0138536516360574 0.0574323126959324 0.00135053003379776 49
"5" "dN.dS_ENSG00000059769" 2.4557613651637e-05 0.0376267824421462 2.31401475181395e-05 0.102345757605452 44
"6" "dN.dS_ENSG00000077232" 3.30492087870013e-06 0.109543984529938 0.232666266748163 5.05473151981998e-14 57
"7" "dN.dS_ENSG00000081870" 1.84060746019888e-05 0.209779650544592 0.0167411294694197 3.09619541116436e-09 56
"8" "dN.dS_ENSG00000096384" 7.37815068407017e-06 -0.000585387370025652 0.0142739015442266 0.957095808542188 56
"9" "dN.dS_ENSG00000100209" 6.25247603280541e-06 0.31010616174673 0.175759912831271 1.21904055701301e-25 60
"10" "dN.dS_ENSG00000102580" 8.90913665000306e-06 0.0413558348388462 0.00021942649198192 1.71297743110228e-05 61
"11" "dN.dS_ENSG00000103423" 3.6274605175014e-06 0.160512973208879 0.30779097821705 1.47355622931464e-17 65
"12" "dN.dS_ENSG00000104129" 1.16852270160724e-05 0.106651234761676 0.000718833379589711 1.28976316631002e-11 60
"13" "dN.dS_ENSG00000105821" 2.42540970512978e-05 0.0198462486091076 4.91468206183399e-09 0.135831826459249 57
"14" "dN.dS_ENSG00000108176" 0.000151635314133046 0.0783471212023181 0.00016678964982598 0.586017505899533 61
"15" "dN.dS_ENSG00000109846" 1.73264258270091e-05 0.0291437540929885 0.000132589249457508 0.0530932814149491 59
"16" "dN.dS_ENSG00000110011" 4.61518658875429e-05 0.265518291989868 7.39341787194716e-09 1.68754439732979e-14 59
"17" "dN.dS_ENSG00000113013" 2.53041767625014e-05 -0.0251729483720643 7.46169550914666e-05 0.275055179172492 49
"18" "dN.dS_ENSG00000115137" 3.43277905881885e-06 0.0740961194367604 0.371027364504513 4.20695490055419e-07 62
"19" "dN.dS_ENSG00000115484" 1.44038014032929e-05 0.0259889740891327 0.0138336732298263 0.222589130468609 53
"20" "dN.dS_ENSG00000116138" 3.47900917926321e-05 0.0379601072959133 2.43818293481628e-09 0.0504112165021721 66
"21" "dN.dS_ENSG00000116675" 1.24007483799698e-05 0.0696157186744502 0.00323471502554881 4.1190898575178e-05 63
"22" "dN.dS_ENSG00000120438" 1.0675237201381e-06 0.0386631923328715 0.604530276910301 5.70812871062667e-06 43
"23" "dN.dS_ENSG00000120675" 4.53998654904001e-05 0.279697471296045 3.78965262280894e-05 2.66345474245258e-09 57
"24" "dN.dS_ENSG00000120694" 3.83586615275294e-05 0.0426504213463703 2.57696867758417e-10 0.0391492694021947 63
"25" "dN.dS_ENSG00000125863" 1.57773823555464e-05 0.279786577120458 0.0265962719338138 5.66443094465753e-16 71
"26" "dN.dS_ENSG00000126602" 1.11986150828481e-05 0.0617856157742225 3.33508125105995e-08 1.78505399380193e-12 61
"27" "dN.dS_ENSG00000126698" 3.19359815082923e-05 0.00873928192960223 0.00280160003085963 0.794226014244581 52
