"genes" "slopes" "intercept" "p_val_slope" "p_val_intercept" "number_of_species"
"1" "dN.dS_ENSG00000166181" 0.00310205722327872 14.8384099686552 0.0032139816632678 3.50933519089837e-05 47
"2" "dN.dS_ENSG00000108671" 0.000460945720937708 7.88175902154285 0.455063076363809 0.00105487383540144 19
"3" "dN.dS_ENSG00000076108" -0.00111233856579706 33.5833017948077 0.268627072169716 7.12961357421061e-12 59
"4" "dN.dS_ENSG00000140153" 0.000625752571772754 25.5038590787437 0.520854337142461 2.08509429027395e-08 55
"5" "dN.dS_ENSG00000172262" -0.00109428053297135 32.5484295130873 0.263675335222995 7.7960782916304e-12 59
"6" "dN.dS_ENSG00000123200" 0.00337945054041351 18.9527595598816 0.00151614408828378 3.8510440485418e-06 58
"7" "dN.dS_ENSG00000153560" 0.00303521818583646 19.1331852499691 0.00157362951572463 8.43380304983471e-07 59
"8" "dN.dS_ENSG00000143393" 0.00339988807395703 22.5183649562747 0.00101288241426565 9.41969077801035e-08 65
"9" "dN.dS_ENSG00000157450" -0.00055643176300937 35.2880395211253 0.611553141734871 8.26616093262026e-12 66
"10" "dN.dS_ENSG00000198910" -0.00107427367448015 35.0266157019036 0.302361757416557 8.81894603162333e-13 63
"11" "dN.dS_ENSG00000014641" 0.00397287454758523 15.7000975071374 2.14674761569322e-06 1.93705246237674e-06 57
"12" "dN.dS_ENSG00000137845" 0.000937336655416393 23.4515060397984 0.386273362536007 3.40583157754557e-08 51
"13" "dN.dS_ENSG00000090975" 0.000154603009347548 25.6713771964403 0.864082352549992 3.12699573039149e-09 52
"14" "dN.dS_ENSG00000173757" 0.00253699841234284 19.5657268373737 0.0066136292855451 1.4901957094178e-06 55
"15" "dN.dS_ENSG00000175115" 0.00233687290808589 22.8669209665619 0.0215202289757252 7.59055019977851e-08 59
"16" "dN.dS_ENSG00000121274" 0.00365666673943044 17.0147926896038 0.000558405674908834 8.32202935686888e-06 54
"17" "dN.dS_ENSG00000168610" 0.0032552933976421 10.8761678757285 4.31429422323127e-07 7.08862954056633e-06 43
"18" "dN.dS_ENSG00000198822" 0.00316956936611064 18.9403213626827 0.00064137222062712 8.94810636603372e-07 60
"19" "dN.dS_ENSG00000104388" 0.00234633556816399 10.3092581408703 0.000232284370696767 5.86660915115133e-05 34
"20" "dN.dS_ENSG00000100505" 0.00484191983045903 18.9350909366919 9.47962518951324e-07 5.98095785362588e-07 67
"21" "dN.dS_ENSG00000138757" 0.000239403363011734 22.8071719579702 0.834070566338316 5.67799537536797e-08 48
"22" "dN.dS_ENSG00000155545" 0.00144623540830868 27.3349253502705 0.173742960600455 2.71317950166924e-09 63
"23" "dN.dS_ENSG00000073584" 0.00271427542904767 10.4542184120323 3.75280121209087e-05 3.19301788583688e-05 36
"24" "dN.dS_ENSG00000205323" 0.00298605888770826 14.6861996254088 0.00270090349559414 2.52504002079385e-05 47
"25" "dN.dS_ENSG00000104885" 0.00209672569102998 23.9575643584306 0.0350216346682102 2.85438306762251e-08 60
"26" "dN.dS_ENSG00000094880" 0.0030458021681137 20.8338716720564 0.00133834807339525 1.24053752695738e-07 62
"27" "dN.dS_ENSG00000157193" 0.00468768055999482 14.8445242648861 1.2862158863201e-07 1.04494914715757e-05 59
"28" "dN.dS_ENSG00000155096" 0.00174025869292147 17.7666862509764 0.0769960904740234 1.85729503440747e-06 53
"29" "dN.dS_ENSG00000125952" 0.00224581679119577 9.16501217932475 0.0032145995243794 0.000245056744018641 30
